ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I01,Basic_Index:,0.4197,0.3261,0
I01,Texture:,0.3943,0.2919,0
I01,Temporal:,0.2607,0.1299,0
I01,Climate:,0.5855,0.4966,0
I01,Topography:,0.2678,0.205,0
I01,SocioEconomic:,0.3377,0.3023,0
I01,LandCover:,0.0201,0.0292,0
I01,Basic_Index+Texture:,0.4932,0.3867,0.0777
I01,Basic_Index+Temporal:,0.5889,0.474,0.246
I01,Basic_Index+Climate:,0.7313,0.6617,0.2504
I01,Basic_Index+Topography:,0.4978,0.3931,0.1276
I01,Basic_Index+SocioEconomic:,0.5946,0.5209,0.2066
I01,Basic_Index+LandCover:,0.4326,0.3419,0.1642
I01,Texture+Temporal:,0.5158,0.3902,0.1793
I01,Texture+Climate:,0.6768,0.5792,0.185
I01,Texture+Topography:,0.4646,0.3492,0.1008
I01,Texture+SocioEconomic:,0.5286,0.4283,0.1311
I01,Texture+LandCover:,0.4046,0.3,0.1395
I01,Temporal+Climate:,0.5847,0.4735,0.1602
I01,Temporal+Topography:,0.3441,0.2061,0.0387
I01,Temporal+SocioEconomic:,0.4091,0.2786,0.0625
I01,Temporal+LandCover:,0.2715,0.156,0.0764
I01,Climate+Topography:,0.5809,0.4885,0.1377
I01,Climate+SocioEconomic:,0.5869,0.5002,0.1007
I01,Climate+LandCover:,0.5831,0.5033,0.2404
I01,Topography+SocioEconomic:,0.4143,0.3205,0.0669
I01,Topography+LandCover:,0.2737,0.2053,0.0882
I01,SocioEconomic+LandCover:,0.3373,0.2989,0.1331
I01,Basic_Index+Texture+Temporal:,0.613,0.5007,0.2513
I01,Basic_Index+Texture+Climate:,0.7426,0.6618,0.2903
I01,Basic_Index+Texture+Topography:,0.5357,0.4286,0.1542
I01,Basic_Index+Texture+SocioEconomic:,0.6254,0.5305,0.2237
I01,Basic_Index+Texture+LandCover:,0.4982,0.3957,0.1799
I01,Basic_Index+Temporal+Climate:,0.7543,0.6775,0.3599
I01,Basic_Index+Temporal+Topography:,0.6114,0.4966,0.2763
I01,Basic_Index+Temporal+SocioEconomic:,0.6688,0.5641,0.3113
I01,Basic_Index+Temporal+LandCover:,0.5898,0.4748,0.3131
